lemma,freq,per_million
ο,913855,137400.96
και,157432,23670.39
σε ο,136878,20580.04
που,123488,18566.81
με,93497,14057.57
για,90554,13615.08
να,85784,12897.89
ή,68316,10271.52
άρθρο,65509,9849.48
από,64178,9649.36
σε,63589,9560.8
στοιχείο,44727,6724.84
οποίος,36495,5487.14
παράγραφος,33405,5022.55
είμαι,33351,5014.43
κανονισμός,30932,4650.72
δεν,28076,4221.31
εε,27279,4101.48
έχω,26975,4055.78
ένας,26850,4036.98
αρχή,25734,3869.19
μου,25731,3868.74
σύμφωνα,25279,3800.78
αυτός,23679,3560.21
αναφέρω,22507,3384.0
κατά,21673,3258.6
πρέπει,20505,3082.99
ως,20494,3081.34
θα,20139,3027.96
πληροφορία,18285,2749.21
οδηγία,18202,2736.73
αξία,17893,2690.27
αγορά,16626,2499.77
αριθ.,16545,2487.59
εν,16129,2425.05
ότι,16060,2414.67
άλλος,15936,2396.03
απαίτηση,15659,2354.38
κράτος,15484,2328.07
μέλος,15313,2302.36
αν,15084,2267.93
μπορώ,15082,2267.63
ευρωπαϊκός,14442,2171.4
πιστωτικός,13790,2073.37
αρμόδιος,13777,2071.42
επιτροπή,13549,2037.13
ποσό,12968,1949.78
περίπτωση,12958,1948.28
σχετικά,12785,1922.26
λαμβάνω,11670,1754.62
αναφορά,11444,1720.64
λόγος,11423,1717.48
κκα,11303,1699.44
προς,11147,1675.99
μην,11046,1660.8
ενεργητικός,11005,1654.64
αφορώ,10910,1640.35
περιλαμβάνω,10785,1621.56
σημείο,10713,1610.73
μέσο,10570,1589.23
κάθε,10364,1558.26
όπως,10350,1556.15
συμβούλιο,10350,1556.15
οντότητα,10337,1554.2
επιχείρηση,10319,1551.49
χρηματοοικονομικός,10286,1546.53
όλος,10247,1540.67
όταν,9975,1499.77
παράρτημα,9951,1496.16
αξιολόγηση,9892,1487.29
μέρος,9759,1467.3
κινδύνου,9758,1467.15
χρηματοπιστωτικός,9705,1459.18
θέση,9553,1436.32
ορίζω,9406,1414.22
λόγω,9329,1402.64
εφαρμογή,8785,1320.85
παρέχω,8755,1316.34
ιδρύμα,8695,1307.32
διαδικασία,8576,1289.43
ημερομηνία,8526,1281.91
κατηγορία,8379,1259.81
εκ,8373,1258.91
σχετικός,8305,1248.68
παρόν,8229,1237.26
ίδρυμα,8222,1236.2
βάσει,8211,1234.55
κεντρικός,8211,1234.55
όσο,8194,1231.99
